"ほげほげ"		,"ホゲホゲ"
"SBC信越放送1",	"信越放送"
"静岡第一テレビ1",	"だいいちテレビ"
"静岡朝日テレビ1",	"ＳＡＴＶ"
"SBS1",	"ＳＢＳ"
"ＮＨＫ総合・金沢",	"ＮＨＫ総合・石川"
"ＮＨＫ Ｅテレ・金沢",	"ＮＨＫ Ｅテレ・石川"
"ＮＨＫ Ｅテレ3・金沢",	"ＮＨＫ Ｅテレ3・石川"
"テレビ金沢1",	"テレビ金沢"
"MRO1",	"北陸放送"
"HAB1",	"北陸朝日"
"石川テレビ1",	"石川テレビ"
"ＮＨＫ総合・名古屋",	"ＮＨＫ総合・愛知"
"ＮＨＫ Ｅテレ・名古屋",	"ＮＨＫ Ｅテレ・愛知"
"ＮＨＫ Ｅテレ3・名古屋",	"ＮＨＫ Ｅテレ3・愛知"
"東海テレビ011",	"東海テレビ"
"中京テレビ1",	"中京テレビ"
"CBC",	"ＣＢＣテレビ"
"メ〜テレ",	"メ～テレ"
"テレビ愛知1",	"テレビ愛知"
"福井放送1",	"福井放送"
"福井テレビ1",	"福井テレビ"
"ＮＨＫ総合・大津",	"ＮＨＫ総合・滋賀"
"BBCびわ湖放送1",	"びわ湖放送"
"奈良テレビ1",	"奈良テレビ"
"NHK総合1・津",	"ＮＨＫ総合・三重"
"三重テレビ1",	"三重テレビ"
"ABCテレビ1",	"ＡＢＣテレビ"
"テレビ大阪1",	"テレビ大阪"
"関西テレビ1",	"関西テレビ"
"読売テレビ1",	"読売テレビ"
"WTV1",	"テレビ和歌山"
"ＮＨＫ総合・神戸",	"ＮＨＫ総合・兵庫"
"サンテレビ1",	"サンテレビ"
"日本海テレビ1",	"日本海テレビ"
"BSSテレビ",	"山陰放送"
"山陰中央テレビ1",	"山陰中央テレビ"
"ＮＨＫ総合・松江",	"ＮＨＫ総合・島根"
"ＮＨＫ Ｅテレ・松江",	"ＮＨＫ Ｅテレ・島根"
"ＮＨＫ Ｅテレ3・松江",	"ＮＨＫ Ｅテレ3・島根"
"RNC西日本テレビ1",	"西日本放送"
"RSKテレビ1",	"山陽放送"
"テレビせとうち1",	"ＴＳＣテレビせとうち"
"OHK",	"岡山放送"
"RCCテレビ1",	"中国放送"
"広島テレビ1",	"広島テレビ"
"広島ホームテレビ1",	"広島ホームテレビ"
"テレビ新広島1",	"テレビ新広島"
"tysテレビ山口1",	"テレビ山口"
"KRY1",	"山口放送"
"yab山口朝日1",	"山口朝日放送"
"ＮＨＫ総合・高松",	"ＮＨＫ総合・香川"
"ＮＨＫ Ｅテレ・高松",	"ＮＨＫ Ｅテレ・香川"
"ＮＨＫ Ｅテレ3・高松",	"ＮＨＫ Ｅテレ3・香川"
"四国放送1",	"四国放送"
"ＮＨＫ総合・松山",	"ＮＨＫ総合・愛媛"
"ＮＨＫ Ｅテレ・松山",	"ＮＨＫ Ｅテレ・愛媛"
"ＮＨＫ Ｅテレ3・松山",	"ＮＨＫ Ｅテレ3・愛媛"
"南海放送1",	"南海放送"
"あいテレビ1",	"あいテレビ"
"高知放送1",	"高知放送"
"テレビ高知1",	"テレビ高知"
"高知さんさんテレビ1",	"高知さんさんテレビ"
"KBCテレビ",	"ＫＢＣ"
"RKB毎日放送",	"ＲＫＢ"
"FBS福岡放送1",	"ＦＢＳ"
"TVQ九州放送1",	"ＴＶＱ"
"テレビ西日本1",	"ＴＮＣ"
"OBS大分放送",	"ＯＢＳ"
"TOSテレビ大分1",	"ＴＯＳ"
"OAB大分朝日放送1",	"ＯＡＢ"
"テレビ宮崎1",	"ＵＭＫ"
"MRT宮崎放送",	"ＭＲＴ"
"MBC南日本放送",	"ＭＢＣ"
"鹿児島讀賣テレビ1",	"ＫＹＴ"
"KKB鹿児島放送",	"ＫＫＢ"
"鹿児島テレビ放送1",	"ＫＴＳ"
"STSサガテレビ1",	"ＳＴＳ"
"NBC長崎放送",	"ＮＢＣ"
"長崎国際テレビ1",	"ＮＩＢ"
"NCC長崎文化放送1",	"ＮＣＣ"
"テレビ長崎1",	"ＫＴＮ"
"RKK熊本放送1",	"ＲＫＫ"
"くまもと県民1",	"ＫＫＴ"
"KAB熊本朝日放送1",	"ＫＡＢ"
"テレビ熊本1",	"ＴＫＵ"
"RBCテレビ",	"琉球放送"
"OTV沖縄テレビ",	"沖縄テレビ"
"BS朝日1",	"ＢＳ朝日"
"BSジャパン",	"ＢＳジャパン"
"BSフジ・181",	"ＢＳフジ"
"BS11",	"BSイレブン"
#---2011.04.01-ADD---
"BSプレミアム",	"NHK BSプレミアム"
#---2011.04.01-ADD---

# テレビ王国 -> RD-Style	

"ＨＢＣ北海道放送",	"ＨＢＣテレビ"
"ＨＴＢ",	"ＨＴＢテレビ"
"ＴＶｈ",	"ＴＶＨテレビ"
"ＲＡＢ青森放送",	"青森放送"
"ＡＴＶ青森テレビ",	"青森テレビ"
"ＮＨＫ総合・盛岡",	"ＮＨＫ総合・岩手"
